Cost,Weight,Weight1,Length,Height,Width,Color
242,23.2,25.4,30,11.52,4.02,Green
290,24,26.3,31.2,12.48,4.3056,Red
340,23.9,26.5,31.1,12.3778,4.6961,Yellow
363,26.3,29,33.5,12.73,4.4555,Green
430,26.5,29,34.25,12.444,5.134,Red
450,26.8,29,34.25.7,13.6024,U,Yellow
500,26.8,29,34.25.5,14.1795,5.2785,Green
390,27.6,30.15,35,12.67,4.69,Red
450,27.6,30.15,35.1,14.0049,4.8438,Yellow
500,#,30.15.7,36.2,14.2266,4.9594,Green
475,28.4,31,36.2,14.2628,5.1042,Red
500,28.7,31,36.2,14.3714,4.8146,Yellow
500,29.1,31.5,36.4,13.7592,4.368,Green
340,29.5,32.25,37.3,13.9129,5.0728,Red
600,29.4,32.25,37.2,,5.1708,Yellow
600,29.4,32.25,37.2,15.438,5.58,Green
700,30.4,33,38.3,14.8604,5.2854,Red
700,30.4,33,38.5,14.938,5.1975,Yellow
610,30.9,33.5,38.6,15.633,5.1338,Green
650,31,33.5,38.7,14.4738,5.7276,Red
575,31.3,34,39.5,15.1285,5.5695,Yellow
685,31.4,34,39.2,15.9936,5.3704,Green
620,31.5,34.5,39.7,15.5227,5.2801,Red
680,31.8,35,40.6,15.4686,6.1306,Yellow
700,31.9,35,40.5,16.2405,5.589,Green
725,31.8,35,40.9,16.36,6.0532,Red
720,32,35,40.6,16.3618,6.09,Yellow
714,32.7,36,41.5,16.517,5.8515,Green
850,32.8,36,41.6,16.8896,6.1984,Red
1000,33.5,37,42.6,18.957,6.603,Yellow
920,35,38.5,44.1,18.0369,6.3063,Green
955,35,38.5,44,18.084,6.292,Red
925,36.2,39.5,45.3,18.7542,6.7497,Yellow
975,37.4,41,45.9,18.6354,6.7473,Green
950,38,41,46.5,17.6235,6.3705,Red
40,12.9,14.1,16.2,4.1472,2.268,Yellow
69,16.5,18.2,20.3,5.2983,2.8217,Green
78,17.5,18.8,21.2,5.5756,2.9044,Red
87,18.2,19.8,22.2,5.6166,3.1746,Yellow
120,18.6,20,22.2,6.216,3.5742,Green
0,19,20.5,22.8,6.4752,3.3516,Red
110,19.1,20.8,23.1,6.1677,3.3957,Yellow
120,19.4,21,23.7,6.1146,3.2943,Green
150,20.4,22,24.7,5.8045,3.7544,Red
145,20.5,22,24.3,6.6339,3.5478,Yellow
160,20.5,22.5,25.3,7.0334,3.8203,Green
140,21,22.5,25,6.55,3.325,Red
160,21.1,22.5,25,6.4,3.8,Yellow
169,22,24,27.2,7.5344,3.8352,Green
161,&,23.4,26.7,6.9153,3.6312,Red
200,22.1,23.5,26.8,7.3968,4.1272,Yellow
180,23.6,25.2,27.9,7.0866,3.906,Green
290,24,26,29.2,8.8768,4.4968,Red
272,25,27,30.6,8.568,4.7736,Yellow
390,29.5,31.7,35,9.485,5.355,Green
270,23.6,26,28.7,8.3804,4.2476,Red
270,24.1,26.5,$,8.1454,4.2485,Yellow
306,25.6,28,30.8,8.778,4.6816,Green
540,28.5,31,34.25,10.744,6.562,Red
800,33.7,36.4,39.6,11.7612,6.5736,Yellow
1000,37.3,40,43.5,12.354,6.525,Green
55,13.5,14.7,16.5,6.8475,2.3265,Red
60,14.3,15.5,17.4,6.5772,2.3142,Yellow
90,16.3,17.7,19.8,7.4052,2.673,Green
120,17.5,19,21.3,8.3922,2.9181,Red
150,18.4,20,22.4,8.8928,3.2928,Yellow
140,19,20.7,23.2,8.5376,3.2944,Green
170,19,20.7,23.2,9.396,3.4104,Red
145,19.8,21.5,24.1,9.7364,3.1571,Yellow
200,21.2,23,25.8,10.3458,3.6636,Green
273,23,25,28,11.088,4.144,Red
300,24,26,29,11.368,4.234,Yellow
5.9,7.5,8.4,8.8,2.112,1.408,Green
32,12.5,13.7,14.7,3.528,1.9992,Red
40,13.8,15,16,3.824,2.432,Yellow
51.5,15,16.2,17.2,4.5924,2.6316,Green
70,15.7,17.4,18.5,4.588,2.9415,Red
100,16.2,18,19.2,5.2224,3.3216,Yellow
78,16.8,18.7,19.4,5.1992,3.1234,Green
80,17.2,19,20.2,5.6358,3.0502,Red
85,17.8,19.6,20.8,5.1376,3.0368,Yellow
85,18.2,20,21,5.082,2.772,Green
110,19,21,22.5,5.6925,3.555,Red
115,19,21,22.5,5.9175,3.3075,Yellow
125,19,21,22.5,5.6925,3.6675,Green
130,19.3,21.3,22.8,6.384,3.534,Red
120,20,22,23.5,6.11,3.4075,Yellow
120,20,22,23.5,5.64,3.525,Green
130,20,22,23.5,6.11,3.525,Red
135,20,22,23.5,5.875,3.525,Yellow
110,20,22,23.5,5.5225,3.995,Green
130,20.5,22.5,24,5.856,3.624,Red
150,20.5,22.5,24,6.792,3.624,Yellow
145,20.7,22.7,24.2,5.9532,3.63,Green
150,21,23,24.5,5.2185,3.626,Red
170,21.5,23.5,25,6.275,3.725,Yellow
225,22,24,25.5,7.293,3.723,Green
145,22,24,25.5,6.375,3.825,Red
188,22.6,24.6,26.2,6.7334,4.1658,Yellow
180,23,25,26.5,6.4395,3.6835,Green
197,23.5,25.6,27,6.561,4.239,Red
218,25,26.5,28,7.168,4.144,Yellow
300,25.2,27.3,28.7,8.323,5.1373,Green
260,25.4,27.5,28.9,7.1672,4.335,Red
265,25.4,27.5,28.9,7.0516,4.335,Yellow
250,25.4,27.5,28.9,7.2828,4.5662,Green
250,25.9,28,29.4,7.8204,4.2042,Red
300,26.9,28.7,30.1,7.5852,4.6354,Yellow
320,27.8,30.15,31.6,7.6156,4.7716,Green
514,30.5,32.25.8,34.25,10.03,6.018,Red
556,32,34.5,36.5,10.2565,6.3875,Yellow
840,32.5,35,37.3,11.4884,7.7957,Green
685,34,36.5,39,10.881,6.864,Red
700,34,36,38.3,10.6091,6.7408,Yellow
700,34.5,37,39.4,10.835,6.2646,Green
690,34.6,37,39.3,10.5717,6.3666,Red
900,36.5,39,41.4,11.1366,7.4934,Yellow
650,36.5,39,41.4,11.1366,6.003,Green
820,36.6,39,41.3,12.4313,7.3514,Red
850,36.9,40,42.3,11.9286,7.1064,Yellow
900,37,40,42.5,11.73,7.225,Green
1015,37,40,42.4,12.3808,7.4624,Red
820,37.1,40,42.5,11.135,6.63,Yellow
1100,39,42,44.6,12.8002,6.8684,Green
1000,39.8,43,45.2,11.9328,7.2772,Red
